"","temp","year","doy"
"744",12.06,1941,350
"745",11.87,1942,14
"746",11.86,1942,47
"747",12.57,1942,76
"748",13.61,1942,105
"749",14.58,1942,138
"750",15.19,1942,167
"751",15.42,1942,197
"752",15.25,1942,229
"753",14.63,1942,259
"754",13.65,1942,288
"755",12.64,1942,321
"756",11.97,1942,350
"757",11.57,1943,14
"758",12.01,1943,47
"759",12.49,1943,76
"760",13.63,1943,105
"761",14.54,1943,138
"762",15.1,1943,167
"763",15.5,1943,197
"764",15.3,1943,229
"765",14.71,1943,259
"766",13.87,1943,288
"767",12.74,1943,321
"768",12.09,1943,350
"769",11.94,1944,14
"770",12.08,1944,47
"771",12.78,1944,76
"772",13.71,1944,105
"773",14.66,1944,138
"774",15.3,1944,167
"775",15.6,1944,197
"776",15.47,1944,229
"777",14.94,1944,259
"778",13.9,1944,288
"779",12.65,1944,321
"780",11.89,1944,350
"781",11.68,1945,14
"782",11.84,1945,47
"783",12.58,1945,76
"784",13.71,1945,105
"785",14.52,1945,138
"786",15.15,1945,167
"787",15.45,1945,197
"788",15.55,1945,229
"789",14.86,1945,259
"790",13.82,1945,288
"791",12.61,1945,321
"792",11.78,1945,350
"793",11.73,1946,14
"794",11.86,1946,47
"795",12.53,1946,76
"796",13.57,1946,105
"797",14.4,1946,138
"798",14.94,1946,167
"799",15.3,1946,197
"800",15.09,1946,229
"801",14.58,1946,259
"802",13.56,1946,288
"803",12.49,1946,321
"804",11.54,1946,350
"805",11.51,1947,14
"806",11.76,1947,47
"807",12.58,1947,76
"808",13.58,1947,105
"809",14.45,1947,138
"810",15.13,1947,167
"811",15.38,1947,197
"812",15.22,1947,229
"813",14.53,1947,259
"814",13.71,1947,288
"815",12.57,1947,321
"816",11.72,1947,350
"817",11.64,1948,14
"818",11.69,1948,47
"819",12.27,1948,76
"820",13.4,1948,105
"821",14.46,1948,138
"822",15.1,1948,167
"823",15.31,1948,197
"824",15.17,1948,229
"825",14.51,1948,259
"826",13.59,1948,288
"827",12.42,1948,321
"828",11.61,1948,350
"829",11.65,1949,14
"830",11.7,1949,47
"831",12.5,1949,76
"832",13.41,1949,105
"833",14.37,1949,138
"834",14.88,1949,167
"835",15.29,1949,197
"836",15.16,1949,229
"837",14.51,1949,259
"838",13.57,1949,288
"839",12.44,1949,321
"840",11.67,1949,350
"841",11.32,1950,14
"842",11.57,1950,47
"843",12.44,1950,76
"844",13.31,1950,105
"845",14.36,1950,138
"846",15.1,1950,167
"847",15.33,1950,197
"848",15.13,1950,229
"849",14.55,1950,259
"850",13.44,1950,288
"851",12.2,1950,321
"852",11.64,1950,350
"853",11.24,1951,14
"854",11.43,1951,47
"855",12.32,1951,76
"856",13.38,1951,105
"857",14.47,1951,138
"858",15.08,1951,167
"859",15.41,1951,197
"860",15.35,1951,229
"861",14.71,1951,259
"862",13.72,1951,288
"863",12.53,1951,321
"864",12.01,1951,350
"865",11.69,1952,14
"866",11.95,1952,47
"867",12.44,1952,76
"868",13.55,1952,105
"869",14.44,1952,138
"870",15.12,1952,167
"871",15.46,1952,197
"872",15.34,1952,229
"873",14.73,1952,259
"874",13.64,1952,288
"875",12.41,1952,321
"876",11.83,1952,350
"877",11.66,1953,14
"878",11.99,1953,47
"879",12.63,1953,76
"880",13.71,1953,105
"881",14.59,1953,138
"882",15.27,1953,167
"883",15.43,1953,197
"884",15.34,1953,229
"885",14.7,1953,259
"886",13.72,1953,288
"887",12.51,1953,321
"888",11.9,1953,350
"889",11.34,1954,14
"890",11.74,1954,47
"891",12.38,1954,76
"892",13.38,1954,105
"893",14.27,1954,138
"894",14.96,1954,167
"895",15.23,1954,197
"896",15.12,1954,229
"897",14.56,1954,259
"898",13.62,1954,288
"899",12.62,1954,321
"900",11.67,1954,350
"901",11.71,1955,14
"902",11.68,1955,47
"903",12.2,1955,76
"904",13.3,1955,105
"905",14.27,1955,138
"906",15.01,1955,167
"907",15.31,1955,197
"908",15.31,1955,229
"909",14.55,1955,259
"910",13.59,1955,288
"911",12.29,1955,321
"912",11.57,1955,350
"913",11.45,1956,14
"914",11.6,1956,47
"915",12.31,1956,76
"916",13.24,1956,105
"917",14.18,1956,138
"918",14.99,1956,167
"919",15.33,1956,197
"920",15.03,1956,229
"921",14.47,1956,259
"922",13.41,1956,288
"923",12.39,1956,321
"924",11.79,1956,350
"925",11.49,1957,14
"926",11.81,1957,47
"927",12.47,1957,76
"928",13.52,1957,105
"929",14.56,1957,138
